identifier,name,type,damage_class,power,accuracy,pp,priority,target_identifier,flavor_text
hone-claws,Hone Claws,dark,status,,,15,0,self,The user sharpens its claws to boost its Attack stat and accuracy.
wide-guard,Wide Guard,rock,status,,,10,3,user-side,The user and its allies are protected from wide-ranging attacks for one turn.
guard-split,Guard Split,psychic,status,,,10,0,chosen,The user employs its psychic power to average its Defense and Sp. Def stats with those of the target.
power-split,Power Split,psychic,status,,,10,0,chosen,The user employs its psychic power to average its Attack and Sp. Atk stats with those of the target.
wonder-room,Wonder Room,psychic,status,,,10,0,both-sides,The user creates a bizarre area in which Pokémon’s Defense and Sp. Def stats are swapped for five turns.
psyshock,Psyshock,psychic,special,80,100,10,0,chosen,The user materializes an odd psychic wave to attack the target. This attack does physical damage.
venoshock,Venoshock,poison,special,65,100,10,0,chosen,The user drenches the target in a special poisonous liquid. This move’s power is doubled if the target is poisoned.
autotomize,Autotomize,steel,status,,,15,0,self,The user sheds part of its body to make itself lighter and sharply raise its Speed stat.
rage-powder,Rage Powder,bug,status,,,20,2,self,The user scatters a cloud of irritating powder to draw attention to itself. Opposing Pokémon aim only at the user.
telekinesis,Telekinesis,psychic,status,,,15,0,chosen,The user makes the target float with its psychic power. The target is easier to hit for three turns.
magic-room,Magic Room,psychic,status,,,10,0,both-sides,The user creates a bizarre area in which Pokémon’s held items lose their effects for five turns.
smack-down,Smack Down,rock,physical,50,100,15,0,chosen,The user throws a stone or similar projectile to attack the target. A flying Pokémon will fall to the ground when it’s hit.
storm-throw,Storm Throw,fighting,physical,60,100,10,0,chosen,The user strikes the target with a fierce blow. This attack always results in a critical hit.
flame-burst,Flame Burst,fire,special,70,100,15,0,chosen,The user attacks the target with a bursting flame. The bursting flame damages Pokémon next to the target as well.
sludge-wave,Sludge Wave,poison,special,95,100,10,0,all-others,The user strikes everything around it by swamping the area with a giant sludge wave. This may also poison those hit.
quiver-dance,Quiver Dance,bug,status,,,20,0,self,"The user lightly performs a beautiful, mystic dance. This boosts the user’s Sp. Atk, Sp. Def, and Speed stats."
heavy-slam,Heavy Slam,steel,physical,,100,10,0,chosen,"The user slams into the target with its heavy body. The more the user outweighs the target, the greater the move’s power."
synchronoise,Synchronoise,psychic,special,120,100,10,0,all-others,"Using an odd shock wave, the user inflicts damage on any Pokémon of the same type in the area around it."
electro-ball,Electro Ball,electric,special,,100,10,0,chosen,"The user hurls an electric orb at the target. The faster the user is than the target, the greater the move’s power."
soak,Soak,water,status,,100,20,0,chosen,The user shoots a torrent of water at the target and changes the target’s type to [[types:Water]].
flame-charge,Flame Charge,fire,physical,50,100,20,0,chosen,"Cloaking itself in flame, the user attacks the target. Then, building up more power, the user raises its Speed stat."
coil,Coil,poison,status,,,20,0,self,The user coils up and concentrates. This raises its Attack and Defense stats as well as its accuracy.
low-sweep,Low Sweep,fighting,physical,65,100,20,0,chosen,"The user makes a swift attack on the target’s legs, which lowers the target’s Speed stat."
acid-spray,Acid Spray,poison,special,40,100,20,0,chosen,The user spits fluid that works to melt the target. This harshly lowers the target’s Sp. Def stat.
foul-play,Foul Play,dark,physical,95,100,15,0,chosen,"The user turns the target’s power against it. The higher the target’s Attack stat, the greater the damage it deals."
simple-beam,Simple Beam,normal,status,,100,15,0,chosen,The user’s mysterious psychic wave changes the target’s Ability to [[abilities:Simple]].
entrainment,Entrainment,normal,status,,100,15,0,chosen,"The user dances with an odd rhythm that compels the target to mimic it, making the target’s Ability the same as the user’s."
after-you,After You,normal,status,,,15,0,chosen,The user helps the target and makes it use its move right after the user.
round,Round,normal,special,60,100,15,0,chosen,The user attacks the target with a song. Others can join in the Round to increase the power of the attack.
echoed-voice,Echoed Voice,normal,special,40,100,15,0,chosen,"The user attacks the target with an echoing voice. If this move is used every turn, its power is increased."
chip-away,Chip Away,normal,physical,70,100,20,0,chosen,"Looking for an opening, the user strikes consistently. The target’s stat changes don’t affect this attack’s damage."
clear-smog,Clear Smog,poison,special,50,,15,0,chosen,The user attacks the target by throwing a clump of special mud. All stat changes are returned to normal.
stored-power,Stored Power,psychic,special,20,100,10,0,chosen,"The user attacks the target with stored power. The more the user’s stats are raised, the greater the move’s power."
quick-guard,Quick Guard,fighting,status,,,15,3,user-side,The user protects itself and its allies from priority moves.
ally-switch,Ally Switch,psychic,status,,,15,2,self,The user teleports using a strange power and switches places with one of its allies.
scald,Scald,water,special,80,100,15,0,chosen,The user shoots boiling hot water at its target. This may also leave the target with a burn.
shell-smash,Shell Smash,normal,status,,,15,0,self,"The user breaks its shell, which lowers Defense and Sp. Def stats but sharply raises its Attack, Sp. Atk, and Speed stats."
heal-pulse,Heal Pulse,psychic,status,,,10,0,chosen,The user emits a healing pulse that restores the target’s HP by up to half of its max HP.
hex,Hex,ghost,special,65,100,10,0,chosen,This relentless attack does massive damage to a target affected by status conditions.
sky-drop,Sky Drop,flying,physical,60,100,10,0,chosen,"The user takes the target into the sky, then drops it during the next turn. The target cannot attack while in the sky."
shift-gear,Shift Gear,steel,status,,,10,0,self,"The user rotates its gears, raising its Attack stat and sharply raising its Speed stat."
circle-throw,Circle Throw,fighting,physical,60,90,10,-6,chosen,"The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
incinerate,Incinerate,fire,special,60,100,15,0,all-opponents,"The user attacks opposing Pokémon with fire. If a Pokémon is holding a certain item, such as a Berry, the item becomes burned up and unusable."
quash,Quash,dark,status,,100,15,0,chosen,The user suppresses the target and makes its move go last.
acrobatics,Acrobatics,flying,physical,55,100,15,0,chosen,"The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage."
reflect-type,Reflect Type,normal,status,,,15,0,chosen,"The user reflects the target’s type, making the user the same type as the target."
retaliate,Retaliate,normal,physical,70,100,5,0,chosen,"The user gets revenge for a fainted ally. If an ally fainted in the previous turn, this move’s power is increased."
final-gambit,Final Gambit,fighting,special,,100,5,0,chosen,The user risks everything to attack its target. The user faints but does damage equal to its HP.
bestow,Bestow,normal,status,,,15,0,chosen,The user passes its held item to the target when the target isn’t holding an item.
inferno,Inferno,fire,special,100,50,5,0,chosen,The user attacks by engulfing the target in an intense fire. This leaves the target with a burn.
water-pledge,Water Pledge,water,special,80,100,10,0,chosen,"A column of water hits the target. When used with [[moves:Fire Pledge|its fire equivalent]], its power increases and a rainbow appears."
fire-pledge,Fire Pledge,fire,special,80,100,10,0,chosen,"A column of fire hits the target. When used with [[moves:Grass Pledge|its grass equivalent]], its power increases and a vast sea of fire appears."
grass-pledge,Grass Pledge,grass,special,80,100,10,0,chosen,"A column of grass hits the target. When used with [[moves:Water Pledge|its water equivalent]], its power increases and a vast swamp appears."
volt-switch,Volt Switch,electric,special,70,100,20,0,chosen,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
struggle-bug,Struggle Bug,bug,special,50,100,20,0,all-opponents,"While resisting, the user attacks opposing Pokémon. This lowers the Sp. Atk stats of those hit."
bulldoze,Bulldoze,ground,physical,60,100,20,0,all-others,The user strikes everything around it by stomping down on the ground. This lowers the Speed stats of those hit.
frost-breath,Frost Breath,ice,special,60,90,10,0,chosen,The user blows its cold breath on the target. This attack always results in a critical hit.
dragon-tail,Dragon Tail,dragon,physical,60,90,10,-6,chosen,"The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
work-up,Work Up,normal,status,,,30,0,self,"The user is roused, and its Attack and Sp. Atk stats increase."
electroweb,Electroweb,electric,special,55,95,15,0,all-opponents,The user attacks and captures opposing Pokémon using an electric net. This lowers their Speed stats.
wild-charge,Wild Charge,electric,physical,90,100,15,0,chosen,The user shrouds itself in electricity and smashes into its target. This also damages the user a little.
drill-run,Drill Run,ground,physical,80,95,10,0,chosen,The user crashes into its target while rotating its body like a drill. Critical hits land more easily.
dual-chop,Dual Chop,dragon,physical,40,90,15,0,chosen,The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.
heart-stamp,Heart Stamp,psychic,physical,60,100,25,0,chosen,The user unleashes a vicious blow after its cute act makes the target less wary. This may also make the target flinch.
horn-leech,Horn Leech,grass,physical,75,100,10,0,chosen,The user drains the target’s energy with its horns. The user’s HP is restored by half the damage taken by the target.
sacred-sword,Sacred Sword,fighting,physical,90,100,15,0,chosen,The user attacks by slicing with a long horn. The target’s stat changes don’t affect this attack’s damage.
razor-shell,Razor Shell,water,physical,75,95,10,0,chosen,The user cuts its target with sharp shells. This may also lower the target’s Defense stat.
heat-crash,Heat Crash,fire,physical,,100,10,0,chosen,"The user slams its target with its flame-covered body. The more the user outweighs the target, the greater the move’s power."
leaf-tornado,Leaf Tornado,grass,special,65,90,10,0,chosen,The user attacks its target by encircling it in sharp leaves. This attack may also lower the target’s accuracy.
steamroller,Steamroller,bug,physical,65,100,20,0,chosen,The user crushes its target by rolling over the target with its rolled-up body. This may also make the target flinch.
cotton-guard,Cotton Guard,grass,status,,,10,0,self,"The user protects itself by wrapping its body in soft cotton, which drastically raises the user’s Defense stat."
night-daze,Night Daze,dark,special,85,95,10,0,chosen,The user lets loose a pitch-black shock wave at its target. This may also lower the target’s accuracy.
psystrike,Psystrike,psychic,special,100,100,10,0,chosen,The user materializes an odd psychic wave to attack the target. This attack does physical damage.
tail-slap,Tail Slap,normal,physical,25,85,10,0,chosen,The user attacks by striking the target with its hard tail. It hits the target two to five times in a row.
hurricane,Hurricane,flying,special,110,70,10,0,chosen,The user attacks by wrapping its opponent in a fierce wind that flies up into the sky. This may also confuse the target.
head-charge,Head Charge,normal,physical,120,100,15,0,chosen,"The user charges its head into its target, using its powerful guard hair. This also damages the user a little."
gear-grind,Gear Grind,steel,physical,50,85,15,0,chosen,The user attacks by throwing steel gears at its target twice.
searing-shot,Searing Shot,fire,special,100,100,5,0,all-others,The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.
techno-blast,Techno Blast,normal,special,120,100,5,0,chosen,The user fires a beam of light at its target. The move’s type changes depending on the Drive the user holds.
relic-song,Relic Song,normal,special,75,100,10,0,all-opponents,The user sings an ancient song and attacks by appealing to the hearts of the listening opposing Pokémon. This may also induce sleep.
secret-sword,Secret Sword,fighting,special,85,100,10,0,chosen,The user cuts with its long horn. The odd power contained in the horn does physical damage to the target.
glaciate,Glaciate,ice,special,65,95,10,0,all-opponents,The user attacks by blowing freezing cold air at opposing Pokémon. This lowers their Speed stats.
bolt-strike,Bolt Strike,electric,physical,130,85,5,0,chosen,The user surrounds itself with a great amount of electricity and charges its target. This may also leave the target with paralysis.
blue-flare,Blue Flare,fire,special,130,85,5,0,chosen,"The user attacks by engulfing the target in an intense, yet beautiful, blue flame. This may also leave the target with a burn."
fiery-dance,Fiery Dance,fire,special,80,100,10,0,chosen,"Cloaked in flames, the user attacks the target by dancing and flapping its wings. This may also raise the user’s Sp. Atk stat."
freeze-shock,Freeze Shock,ice,physical,140,90,5,0,chosen,"On the second turn, the user hits the target with electrically charged ice. This may also leave the target with paralysis."
ice-burn,Ice Burn,ice,special,140,90,5,0,chosen,"On the second turn, an ultracold, freezing wind surrounds the target. This may leave the target with a burn."
snarl,Snarl,dark,special,55,95,15,0,all-opponents,"The user yells as if it’s ranting about something, which lowers the Sp. Atk stats of opposing Pokémon."
icicle-crash,Icicle Crash,ice,physical,85,90,10,0,chosen,The user attacks by harshly dropping large icicles onto the target. This may also make the target flinch.
v-create,V-create,fire,physical,180,95,5,0,chosen,"With a hot flame on its forehead, the user hurls itself at its target. This lowers the user’s Defense, Sp. Def, and Speed stats."
fusion-flare,Fusion Flare,fire,special,100,100,5,0,chosen,The user brings down a giant flame. This move’s power is increased when influenced by an [[moves:Fusion Bolt|enormous lightning bolt]].
fusion-bolt,Fusion Bolt,electric,physical,100,100,5,0,chosen,The user throws down a giant lightning bolt. This move’s power is increased when influenced by an [[moves:Fusion Flare|enormous flame]].
flying-press,Flying Press,fighting,physical,100,95,10,0,chosen,The user dives down onto the target from the sky. This move is [[types:Fighting]] and [[types:Flying]] type simultaneously.
mat-block,Mat Block,fighting,status,,,10,0,user-side,"Using a pulled-up mat as a shield, the user protects itself and its allies from damaging moves. This does not stop status moves."
belch,Belch,poison,special,120,90,10,0,chosen,The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.
rototiller,Rototiller,ground,status,,,10,0,all,"Tilling the soil, the user makes it easier for plants to grow. This raises the Attack and Sp. Atk stats of [[types:Grass]]-type Pokémon."
sticky-web,Sticky Web,bug,status,,,20,0,other-side,"The user weaves a sticky net around the opposing team, which lowers their Speed stats upon switching into battle."
fell-stinger,Fell Stinger,bug,physical,50,100,25,0,chosen,"When the user knocks out a target with this move, the user’s Attack stat rises drastically."
phantom-force,Phantom Force,ghost,physical,90,100,10,0,chosen,"The user vanishes somewhere, then strikes the target on the next turn. This move hits even if the target protects itself."
trick-or-treat,Trick-or-Treat,ghost,status,,100,20,0,chosen,The user takes the target trick-or-treating. This adds [[types:Ghost]] type to the target’s type.
noble-roar,Noble Roar,normal,status,,100,30,0,chosen,"Letting out a noble roar, the user intimidates the target and lowers its Attack and Sp. Atk stats."
ion-deluge,Ion Deluge,electric,status,,,25,1,both-sides,"The user disperses electrically charged particles, which changes [[types:Normal]]-type moves to [[types:Electric]]-type moves."
parabolic-charge,Parabolic Charge,electric,special,65,100,20,0,all-others,The user attacks everything around it. The user’s HP is restored by half the damage taken by those hit.
forests-curse,Forest's Curse,grass,status,,100,20,0,chosen,The user puts a forest curse on the target. The target is now [[types:Grass]] type as well.
petal-blizzard,Petal Blizzard,grass,physical,90,100,15,0,all-others,The user stirs up a violent petal blizzard and attacks everything around it.
freeze-dry,Freeze-Dry,ice,special,70,100,20,0,chosen,The user rapidly cools the target. This may also leave the target frozen. This move is super effective on [[types:Water]] types.
disarming-voice,Disarming Voice,fairy,special,40,,15,0,all-opponents,"Letting out a charming cry, the user does emotional damage to opposing Pokémon. This attack never misses."
parting-shot,Parting Shot,dark,status,,100,20,0,chosen,"With a parting threat, the user lowers the target’s Attack and Sp. Atk stats. Then it switches with a party Pokémon."
topsy-turvy,Topsy-Turvy,dark,status,,,20,0,chosen,All stat changes affecting the target turn topsy-turvy and become the opposite of what they were.
draining-kiss,Draining Kiss,fairy,special,50,100,10,0,chosen,The user steals the target’s HP with a kiss. The user’s HP is restored by over half of the damage taken by the target.
crafty-shield,Crafty Shield,fairy,status,,,10,3,user-side,The user protects itself and its allies from status moves with a mysterious power. This does not stop moves that do damage.
flower-shield,Flower Shield,fairy,status,,,10,0,all,The user raises the Defense stats of all [[types:Grass]]-type Pokémon in battle with a mysterious power.
grassy-terrain,Grassy Terrain,grass,status,,,10,0,both-sides,The user turns the ground to grass for five turns. This restores the HP of Pokémon on the ground a little every turn and powers up [[types:Grass]]-type moves.
misty-terrain,Misty Terrain,fairy,status,,,10,0,both-sides,This protects Pokémon on the ground from status conditions and halves damage from [[types:Dragon]]-type moves for five turns.
electrify,Electrify,electric,status,,,20,0,chosen,"If the target is electrified before it uses a move during that turn, the target’s move becomes [[types:Electric]] type."
play-rough,Play Rough,fairy,physical,90,90,10,0,chosen,The user plays rough with the target and attacks it. This may also lower the target’s Attack stat.
fairy-wind,Fairy Wind,fairy,special,40,100,30,0,chosen,The user stirs up a fairy wind and strikes the target with it.
moonblast,Moonblast,fairy,special,95,100,15,0,chosen,"Borrowing the power of the moon, the user attacks the target. This may also lower the target’s Sp. Atk stat."
boomburst,Boomburst,normal,special,140,100,10,0,all-others,"The user attacks everything around it with the destructive power of a terrible, explosive sound."
fairy-lock,Fairy Lock,fairy,status,,,10,0,both-sides,"By locking down the battlefield, the user keeps all Pokémon from fleeing during the next turn."
kings-shield,King's Shield,steel,status,,,10,4,self,The user takes a defensive stance while it protects itself from damage. It also lowers the Attack stat of any attacker that makes direct contact.
play-nice,Play Nice,normal,status,,,20,0,chosen,"The user and the target become friends, and the target loses its will to fight. This lowers the target’s Attack stat."
confide,Confide,normal,status,,,20,0,chosen,"The user tells the target a secret, and the target loses its ability to concentrate. This lowers the target’s Sp. Atk stat."
diamond-storm,Diamond Storm,rock,physical,100,95,5,0,all-opponents,The user whips up a storm of diamonds to damage opposing Pokémon. This may also sharply raise the user’s Defense stat.
steam-eruption,Steam Eruption,water,special,110,95,5,0,chosen,The user immerses the target in superheated steam. This may also leave the target with a burn.
hyperspace-hole,Hyperspace Hole,psychic,special,80,,5,0,chosen,"Using a hyperspace hole, the user appears right next to the target and strikes. This also hits a target using a move such as [[moves:Protect]] or [[moves:Detect]]."
water-shuriken,Water Shuriken,water,special,15,100,20,1,chosen,The user hits the target with throwing stars two to five times in a row. This move always goes first.
mystical-fire,Mystical Fire,fire,special,75,100,10,0,chosen,"The user attacks by breathing a special, hot fire. This also lowers the target’s Sp. Atk stat."
spiky-shield,Spiky Shield,grass,status,,,10,4,self,"In addition to protecting the user from attacks, this move also damages any attacker that makes direct contact."
aromatic-mist,Aromatic Mist,fairy,status,,,20,0,chosen-ally,The user raises the Sp. Def stat of an ally Pokémon by using a mysterious aroma.
eerie-impulse,Eerie Impulse,electric,status,,100,15,0,chosen,The user’s body generates an eerie impulse. Exposing the target to it harshly lowers the target’s Sp. Atk stat.
venom-drench,Venom Drench,poison,status,,100,20,0,all-opponents,"Opposing Pokémon are drenched in an odd poisonous liquid. This lowers the Attack, Sp. Atk, and Speed stats of a poisoned target."
powder,Powder,bug,status,,100,20,1,chosen,"The user covers the target in a combustible powder. If the target uses a [[types:Fire]]-type move, the powder explodes and damages the target."
geomancy,Geomancy,fairy,status,,,10,0,self,"The user absorbs energy and sharply raises its Sp. Atk, Sp. Def, and Speed stats on the next turn."
magnetic-flux,Magnetic Flux,electric,status,,,20,0,all-allies,"The user manipulates magnetic fields, which raises the Defense and Sp. Def stats of ally Pokémon with the [[abilities:Plus]] or [[abilities:Minus]] Ability."
happy-hour,Happy Hour,normal,status,,,30,0,user-side,Using Happy Hour doubles the amount of prize money received after battle.
electric-terrain,Electric Terrain,electric,status,,,10,0,both-sides,"The user electrifies the ground for five turns, powering up [[types:Electric]]-type moves. Pokémon on the ground no longer fall asleep."
dazzling-gleam,Dazzling Gleam,fairy,special,80,100,10,0,all-opponents,The user damages opposing Pokémon by emitting a powerful flash.
celebrate,Celebrate,normal,status,,,40,0,self,The Pokémon congratulates you on your special day!
hold-hands,Hold Hands,normal,status,,,40,0,chosen-ally,The user and an ally hold hands. This makes them very happy.
baby-doll-eyes,Baby-Doll Eyes,fairy,status,,100,30,1,chosen,"The user stares at the target with its baby-doll eyes, which lowers the target’s Attack stat. This move always goes first."
nuzzle,Nuzzle,electric,physical,20,100,20,0,chosen,The user attacks by nuzzling its electrified cheeks against the target. This also leaves the target with paralysis.
hold-back,Hold Back,normal,physical,40,100,40,0,chosen,"The user holds back when it attacks, and the target is left with at least 1 HP."
infestation,Infestation,bug,special,20,100,20,0,chosen,The target is infested and attacked for four to five turns. The target can’t flee during this time.
power-up-punch,Power-Up Punch,fighting,physical,40,100,20,0,chosen,Striking opponents over and over makes the user’s fists harder. Hitting a target raises the Attack stat.
oblivion-wing,Oblivion Wing,flying,special,80,100,10,0,chosen,The user absorbs its target’s HP. The user’s HP is restored by over half of the damage taken by the target.
thousand-arrows,Thousand Arrows,ground,physical,90,100,10,0,all-opponents,This move also hits opposing Pokémon that are in the air. Those Pokémon are knocked down to the ground.
thousand-waves,Thousand Waves,ground,physical,90,100,10,0,all-opponents,The user attacks with a wave that crawls along the ground. Those it hits can’t flee from battle.
lands-wrath,Land's Wrath,ground,physical,90,100,10,0,all-opponents,The user gathers the energy of the land and focuses that power on opposing Pokémon to damage them.
light-of-ruin,Light of Ruin,fairy,special,140,90,5,0,chosen,"Drawing power from the Eternal Flower, the user fires a powerful beam of light. This also damages the user quite a lot."
origin-pulse,Origin Pulse,water,special,110,85,10,0,all-opponents,The user attacks opposing Pokémon with countless beams of light that glow a deep and brilliant blue.
precipice-blades,Precipice Blades,ground,physical,120,85,10,0,all-opponents,The user attacks opposing Pokémon by manifesting the power of the land in fearsome blades of stone.
dragon-ascent,Dragon Ascent,flying,physical,120,100,5,0,chosen,"After soaring upward, the user attacks its target by dropping out of the sky at high speeds. But it lowers its own Defense and Sp. Def stats in the process."
hyperspace-fury,Hyperspace Fury,dark,physical,100,,5,0,chosen,"Using its many arms, the user unleashes a barrage of attacks that ignore the effects of moves like [[moves:Protect]] and [[moves:Detect]]. But the user’s Defense stat falls."
shore-up,Shore Up,ground,status,,,10,0,self,The user regains up to half of its max HP. It restores more HP in a sandstorm.
first-impression,First Impression,bug,physical,90,100,10,2,chosen,"Although this move has great power, it only works the first turn each time the user enters battle."
baneful-bunker,Baneful Bunker,poison,status,,,10,4,self,"In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact."
spirit-shackle,Spirit Shackle,ghost,physical,80,100,10,0,chosen,The user attacks while simultaneously stitching the target’s shadow to the ground to prevent the target from escaping.
darkest-lariat,Darkest Lariat,dark,physical,85,100,10,0,chosen,The user swings both arms and hits the target. The target’s stat changes don’t affect this attack’s damage.
sparkling-aria,Sparkling Aria,water,special,90,100,10,0,all-others,"The user bursts into song, emitting many bubbles. Any Pokémon suffering from a burn will be healed by the touch of these bubbles."
ice-hammer,Ice Hammer,ice,physical,100,90,10,0,chosen,"The user swings and hits with its strong, heavy fist. It lowers the user’s Speed, however."
floral-healing,Floral Healing,fairy,status,,,10,0,chosen,The user restores the target’s HP by up to half of its max HP. It restores more HP when the [[moves:Grassy Terrain|terrain is grass]].
high-horsepower,High Horsepower,ground,physical,95,95,10,0,chosen,The user fiercely attacks the target using its entire body.
strength-sap,Strength Sap,grass,status,,100,10,0,chosen,The user restores its HP by the same amount as the target’s Attack stat. It also lowers the target’s Attack stat.
solar-blade,Solar Blade,grass,physical,125,100,10,0,chosen,"In this two-turn attack, the user gathers light and fills a blade with the light’s energy, attacking the target on the next turn."
leafage,Leafage,grass,physical,40,100,40,0,chosen,The user attacks by pelting the target with leaves.
spotlight,Spotlight,normal,status,,,15,3,chosen,The user shines a spotlight on the target so that only the target will be attacked during the turn.
toxic-thread,Toxic Thread,poison,status,,100,20,0,chosen,The user shoots poisonous threads to poison the target and lower the target’s Speed stat.
laser-focus,Laser Focus,normal,status,,,30,0,self,The user concentrates intensely. The attack on the next turn always results in a critical hit.
gear-up,Gear Up,steel,status,,,20,0,all-allies,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the [[abilities:Plus]] or [[abilities:Minus]] Ability.
throat-chop,Throat Chop,dark,physical,80,100,15,0,chosen,"The user attacks the target’s throat, and the resultant suffering prevents the target from using moves that emit sound for two turns."
pollen-puff,Pollen Puff,bug,special,90,100,15,0,chosen,"The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead."
anchor-shot,Anchor Shot,steel,physical,80,100,20,0,chosen,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.
psychic-terrain,Psychic Terrain,psychic,status,,,10,0,both-sides,This protects Pokémon on the ground from priority moves and powers up [[types:Psychic]]-type moves for five turns.
lunge,Lunge,bug,physical,80,100,15,0,chosen,"The user makes a lunge at the target, attacking with full force. This also lowers the target’s Attack stat."
fire-lash,Fire Lash,fire,physical,80,100,15,0,chosen,The user strikes the target with a burning lash. This also lowers the target’s Defense stat.
power-trip,Power Trip,dark,physical,20,100,10,0,chosen,"The user boasts its strength and attacks the target. The more the user’s stats are raised, the greater the move’s power."
burn-up,Burn Up,fire,special,130,100,5,0,chosen,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be [[types:Fire]] type."
speed-swap,Speed Swap,psychic,status,,,10,0,chosen,The user exchanges Speed stats with the target.
smart-strike,Smart Strike,steel,physical,70,,10,0,chosen,The user stabs the target with a sharp horn. This attack never misses.
purify,Purify,poison,status,,,20,0,chosen,"The user heals the target’s status condition. If the move succeeds, it also restores the user’s own HP."
revelation-dance,Revelation Dance,normal,special,90,100,15,0,chosen,The user attacks the target by dancing very hard. The user’s type determines the type of this move.
core-enforcer,Core Enforcer,dragon,special,100,100,10,0,all-opponents,"If the Pokémon the user has inflicted damage on have already used their moves, this move eliminates the effect of the target’s Ability."
trop-kick,Trop Kick,grass,physical,70,100,15,0,chosen,The user lands an intense kick of tropical origins on the target. This also lowers the target’s Attack stat.
instruct,Instruct,psychic,status,,,15,0,chosen,The user instructs the target to use the target’s last move again.
beak-blast,Beak Blast,flying,physical,100,100,15,-3,chosen,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it’s heating up its beak results in a burn."
clanging-scales,Clanging Scales,dragon,special,110,100,5,0,all-opponents,The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user’s Defense stat goes down after the attack.
dragon-hammer,Dragon Hammer,dragon,physical,90,100,15,0,chosen,The user uses its body like a hammer to attack the target and inflict damage.
brutal-swing,Brutal Swing,dark,physical,60,100,20,0,all-others,The user swings its body around violently to inflict damage on everything in its vicinity.
aurora-veil,Aurora Veil,ice,status,,,20,0,user-side,This move reduces damage from physical and special moves for five turns. This can be used only in a hailstorm.
shell-trap,Shell Trap,fire,special,150,100,5,-3,all-opponents,"The user sets a shell trap. If the user is hit by a physical move, the trap will explode and inflict damage on opposing Pokémon."
fleur-cannon,Fleur Cannon,fairy,special,130,90,5,0,chosen,The user unleashes a strong beam. The attack’s recoil harshly lowers the user’s Sp. Atk stat.
psychic-fangs,Psychic Fangs,psychic,physical,85,100,10,0,chosen,The user bites the target with its psychic capabilities. This can also destroy [[noves:Light Screen]] and [[moves:Reflect]].
stomping-tantrum,Stomping Tantrum,ground,physical,75,100,10,0,chosen,"Driven by frustration, the user attacks the target. If the user’s previous move has failed, the power of this move doubles."
shadow-bone,Shadow Bone,ghost,physical,85,100,10,0,chosen,The user attacks by beating the target with a bone that contains a spirit. This may also lower the target’s Defense stat.
accelerock,Accelerock,rock,physical,40,100,20,1,chosen,The user smashes into the target at high speed. This move always goes first.
liquidation,Liquidation,water,physical,85,100,10,0,chosen,The user slams into the target using a full-force blast of water. This may also lower the target’s Defense stat.
prismatic-laser,Prismatic Laser,psychic,special,160,100,10,0,chosen,The user shoots powerful lasers using the power of a prism. The user can’t move on the next turn.
spectral-thief,Spectral Thief,ghost,physical,90,100,10,0,chosen,"The user hides in the target’s shadow, steals the target’s stat boosts, and then attacks."
sunsteel-strike,Sunsteel Strike,steel,physical,100,100,5,0,chosen,The user slams into the target with the force of a meteor. This move can be used on the target regardless of its Abilities.
moongeist-beam,Moongeist Beam,ghost,special,100,100,5,0,chosen,The user emits a sinister ray to attack the target. This move can be used on the target regardless of its Abilities.
tearful-look,Tearful Look,normal,status,,,20,0,chosen,The user gets teary eyed to make the target lose its combative spirit. This lowers the target’s Attack and Sp. Atk stats.
zing-zap,Zing Zap,electric,physical,80,100,10,0,chosen,"A strong electric blast crashes down on the target, giving it an electric shock. This may also make the target flinch."
natures-madness,Nature's Madness,fairy,special,,90,10,0,chosen,The user hits the target with the force of nature. It halves the target’s HP.
mind-blown,Mind Blown,fire,special,150,100,5,0,all-others,The user attacks everything around it by causing its own head to explode. This also damages the user. 
plasma-fists,Plasma Fists,electric,physical,100,100,15,0,chosen,The user attacks with electrically charged fists. This move changes Normal-type moves to Electric-type moves. 
photon-geyser,Photon Geyser,psychic,special,100,100,5,0,chosen,The user attacks a target with a pillar of light. This move inflicts Attack or Sp. Atk damage—whichever stat is higher for the user. 
multi-attack,Multi-Attack,normal,physical,120,100,10,0,chosen,"Cloaking itself in high energy, the user slams into the target. The memory held determines the move’s type."
double-iron-bash,Double Iron Bash,steel,physical,60,100,5,0,chosen,"The user rotates, centering the hex nut in its chest, and then strikes with its arms twice in a row. This may also make the target flinch."
dynamax-cannon,Dynamax Cannon,dragon,special,100,100,5,0,chosen,The user unleashes a strong beam from its core. This move deals twice the damage if the target is Dynamaxed.
