identifier,name,value,pocket,flavor_text
rocky-helmet,Rocky Helmet,4000,Items,"An item to be held by a Pokémon. If the holder is hit, the attacker will also be damaged upon contact."
air-balloon,Air Balloon,4000,Items,"An item to be held by a Pokémon. The holder will float in the air until hit. Once hit, this item will burst."
red-card,Red Card,4000,Items,"An item to be held by a Pokémon. When the holder is hit by an attack, the attacker is removed from battle."
ring-target,Ring Target,4000,Items,An item to be held by a Pokémon. Moves that normally have no effect will land on a Pokémon holding it.
binding-band,Binding Band,4000,Items,An item to be held by a Pokémon. A band that increases the power of binding moves used by the holder.
absorb-bulb,Absorb Bulb,4000,Items,An item to be held by a Pokémon. It boosts Sp. Atk if hit with a Water-type attack. It can only be used once.
cell-battery,Cell Battery,4000,Items,An item to be held by a Pokémon. It boosts Attack if hit with an Electric-type attack. It can only be used once.
eject-button,Eject Button,4000,Items,"An item to be held by a Pokémon. If the holder is hit by an attack, it will be switched out of battle."
fire-gem,Fire Gem,200,Items,"A gem with an essence of fire. When held, it strengthens the power of a Fire-type move one time."
water-gem,Water Gem,200,Items,"A gem with an essence of water. When held, it strengthens the power of a Water-type move one time."
electric-gem,Electric Gem,200,Items,"A gem with an essence of electricity. When held, it strengthens the power of an Electric-type move one time."
grass-gem,Grass Gem,200,Items,"A gem with an essence of nature. When held, it strengthens the power of a Grass-type move one time."
ice-gem,Ice Gem,200,Items,"A gem with an essence of ice. When held, it strengthens the power of an Ice-type move one time."
fighting-gem,Fighting Gem,200,Items,"A gem with an essence of combat. When held, it strengthens the power of a Fighting-type move one time."
poison-gem,Poison Gem,200,Items,"A gem with an essence of poison. When held, it strengthens the power of a Poison-type move one time."
ground-gem,Ground Gem,200,Items,"A gem with an essence of land. When held, it strengthens the power of a Ground-type move one time."
flying-gem,Flying Gem,200,Items,"A gem with an essence of air. When held, it strengthens the power of a Flying-type move one time."
psychic-gem,Psychic Gem,200,Items,"A gem with an essence of the mind. When held, it strengthens the power of a Psychic-type move one time."
bug-gem,Bug Gem,200,Items,"A gem with an insect-like essence. When held, it strengthens the power of a Bug-type move one time."
rock-gem,Rock Gem,200,Items,"A gem with an essence of rock. When held, it strengthens the power of a Rock-type move one time."
ghost-gem,Ghost Gem,200,Items,"A gem with a spectral essence. When held, it strengthens the power of a Ghost-type move one time."
dark-gem,Dark Gem,200,Items,"A gem with an essence of darkness. When held, it strengthens the power of a Dark-type move one time."
steel-gem,Steel Gem,200,Items,"A gem with an essence of steel. When held, it strengthens the power of a Steel-type move one time."
health-wing,Health Wing,300,Medicine,An item for use on a Pokémon. It slightly increases the base HP of a single Pokémon.
muscle-wing,Muscle Wing,300,Medicine,An item for use on a Pokémon. It slightly increases the base Attack stat of a single Pokémon.
resist-wing,Resist Wing,300,Medicine,An item for use on a Pokémon. It slightly increases the base Defense stat of a single Pokémon.
genius-wing,Genius Wing,300,Medicine,An item for use on a Pokémon. It slightly increases the base Sp. Atk stat of a single Pokémon.
clever-wing,Clever Wing,300,Medicine,An item for use on a Pokémon. It slightly increases the base Sp. Def stat of a single Pokémon.
swift-wing,Swift Wing,300,Medicine,An item for use on a Pokémon. It slightly increases the base Speed stat of a single Pokémon.
pretty-wing,Pretty Wing,1000,Items,"Though this feather is beautiful, it’s just a regular feather and has no effect on Pokémon."
cover-fossil,Cover Fossil,7000,Items,A fossil from a prehistoric Pokémon that once lived in the sea. It appears as though it could be part of its back.
plume-fossil,Plume Fossil,7000,Items,A fossil from a prehistoric Pokémon that once lived in the sky. It looks as if it could come from part of its wing.
liberty-pass,Liberty Pass,0,Key Items,A special pass to go to Liberty Garden. Board the ship in Castelia City.
pass-orb,Pass Orb,200,Items,"A mysterious orb containing the power of the Unova region, to be used when generating Pass Power."
dream-ball,Dream Ball,0,Poké Balls,A special Poké Ball that appears in your Bag out of nowhere in the Entree Forest. It can catch any Pokémon.
poke-toy,Poké Toy,100,Items,A toy that attracts the attention of a Pokémon. It guarantees escape from any battle with wild Pokémon.
prop-case,Prop Case,0,Key Items,A lovely case to store colorful Props for your Pokémon to wear in a musical.
dragon-skull,Dragon Skull,0,Key Items,A skull of a Pokémon that was said to have braved the angry waters to fly around the world.
balm-mushroom,Balm Mushroom,15000,Items,A rare mushroom that gives off a nice fragrance. It can be sold at a high price to shops.
big-nugget,Big Nugget,40000,Items,A big nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops.
pearl-string,Pearl String,30000,Items,Very large pearls that sparkle in a pretty silver color. They can be sold at a high price to shops.
comet-shard,Comet Shard,60000,Items,A shard that fell to the ground when a comet approached. It can be sold at a high price to shops.
relic-copper,Relic Copper,0,Items,"A copper coin used by an ancient civilization about 3,000 years ago."
relic-silver,Relic Silver,0,Items,"A silver coin used by an ancient civilization about 3,000 years ago."
relic-gold,Relic Gold,60000,Items,"A gold coin used by an ancient civilization about 3,000 years ago."
relic-vase,Relic Vase,0,Items,"A fragile vase made by an ancient civilization about 3,000 years ago."
relic-band,Relic Band,0,Items,"A heavy bracelet made by an ancient civilization about 3,000 years ago."
relic-statue,Relic Statue,0,Items,"A stone figurine made by an ancient civilization about 3,000 years ago."
relic-crown,Relic Crown,0,Items,"A heavy crown made by an ancient civilization about 3,000 years ago."
casteliacone,Casteliacone,350,Medicine,"Castelia City’s specialty, soft-serve ice cream. It can be used once to heal all the status conditions of a Pokémon."
dire-hit-2,Dire Hit 2,0,Battle Items,It can be used many times to raise the critical-hit ratio of one Pokémon. It wears off if the Pokémon is withdrawn.
x-speed-2,X Speed 2,0,Battle Items,It sharply raises the Speed stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
x-sp-atk-2,X Sp. Atk 2,0,Battle Items,It sharply raises the Sp. Atk stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
x-sp-def-2,X Sp. Def 2,0,Battle Items,It sharply raises the Sp. Def stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
x-defense-2,X Defense 2,0,Battle Items,It sharply raises the Defense stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
x-attack-2,X Attack 2,0,Battle Items,It sharply raises the Attack stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
x-accuracy-2,X Accuracy 2,0,Battle Items,It sharply raises the accuracy of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
x-speed-3,X Speed 3,0,Battle Items,It drastically raises the Speed stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
x-sp-atk-3,X Sp. Atk 3,0,Battle Items,It drastically raises the Sp. Atk stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
x-sp-def-3,X Sp. Def 3,0,Battle Items,It drastically raises the Sp. Def stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
x-defense-3,X Defense 3,0,Battle Items,It drastically raises the Defense stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
x-attack-3,X Attack 3,0,Battle Items,It drastically raises the Attack stat of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
x-accuracy-3,X Accuracy 3,0,Battle Items,It drastically raises the accuracy of a Pokémon in battle. It wears off if the Pokémon is withdrawn.
x-speed-6,X Speed 6,0,Battle Items,It raises the Speed stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
x-sp-atk-6,X Sp. Atk 6,0,Battle Items,It raises the Sp. Atk stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
x-sp-def-6,X Sp. Def 6,0,Battle Items,It raises the Sp. Def stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
x-defense-6,X Defense 6,0,Battle Items,It raises the Defense stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
x-attack-6,X Attack 6,0,Battle Items,It raises the Attack stat of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
x-accuracy-6,X Accuracy 6,0,Battle Items,It raises the accuracy of a Pokémon in battle immensely. It wears off if the Pokémon is withdrawn.
ability-urge,Ability Urge,0,Battle Items,"When used, it activates the Ability of an ally Pokémon."
item-drop,Item Drop,0,Battle Items,"When used, it causes an ally Pokémon to drop a held item."
item-urge,Item Urge,0,Battle Items,"When used, it causes an ally Pokémon to use its held item."
reset-urge,Reset Urge,0,Battle Items,"When used, it restores any stat changes of an ally Pokémon."
dire-hit-3,Dire Hit 3,0,Battle Items,It can be used many times to greatly raise a Pokémon’s critical-hit ratio. It wears off if the Pokémon is withdrawn.
light-stone,Light Stone,0,Key Items,Reshiram’s body was destroyed and changed into this stone. It is said to be waiting for the emergence of a hero.
dark-stone,Dark Stone,0,Key Items,Zekrom’s body was destroyed and changed into this stone. It is said to be waiting for the emergence of a hero.
xtransceiver,Xtransceiver,0,Key Items,A high-tech transceiver with a camera function. It allows up to four-way calls.
gram-1,Gram 1,0,Key Items,An important letter that Wingull delivers.
gram-2,Gram 2,0,Key Items,An important letter that Wingull delivers.
gram-3,Gram 3,0,Key Items,An important letter that Wingull delivers.
normal-gem,Normal Gem,4000,Items,"A gem with an ordinary essence. When held, it strengthens the power of a Normal-type move one time."
medal-box,Medal Box,0,Key Items,A box-shaped machine that stores Medals and Medal information.
dna-splicers,DNA Splicers,0,Key Items,A splicer that fuses Kyurem and a certain Pokémon. They are said to have been one in the beginning.
permit,Permit,0,Key Items,A permit that is needed to enter the Nature Preserve. Not many know about it.
oval-charm,Oval Charm,0,Key Items,An oval charm said to increase the chance of Pokémon Eggs being found at the Nursery.
shiny-charm,Shiny Charm,0,Key Items,A shiny charm said to increase the chance of finding a Shiny Pokémon in the wild.
plasma-card,Plasma Card,0,Key Items,A card key needed to enter the password inside the Plasma Frigate.
grubby-hanky,Grubby Hanky,0,Key Items,A handkerchief dropped by a regular at Café Warehouse. It smells faintly like a Pokémon.
colress-machine,Colress Machine,0,Key Items,A special device that wrings out the potential of Pokémon. It’s an imperfect prototype.
dropped-item,Dropped Item,0,Key Items,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy.
reveal-glass,Reveal Glass,0,Key Items,A looking glass that reveals the truth. It’s a mysterious glass that returns a Pokémon to its original shape.
weakness-policy,Weakness Policy,1000,Items,An item to be held by a Pokémon. Attack and Sp. Atk sharply increase if the holder is hit with a move it’s weak to.
assault-vest,Assault Vest,1000,Items,An item to be held by a Pokémon. This offensive vest raises Sp. Def but prevents the use of status moves.
pixie-plate,Pixie Plate,1000,Items,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Fairy-type moves.
ability-capsule,Ability Capsule,10000,Medicine,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.
whipped-dream,Whipped Dream,2000,Items,"A soft and sweet treat made of fluffy, puffy, whipped, and whirled cream. It’s loved by a certain Pokémon."
sachet,Sachet,2000,Items,A sachet filled with fragrant perfumes that are just slightly too overwhelming. Yet it’s loved by a certain Pokémon.
luminous-moss,Luminous Moss,4000,Items,An item to be held by a Pokémon. It boosts Sp. Def if hit with a Water-type attack. It can only be used once.
snowball,Snowball,4000,Items,An item to be held by a Pokémon. It boosts Attack if hit with an Ice-type attack. It can only be used once.
safety-goggles,Safety Goggles,4000,Items,An item to be held by a Pokémon. These goggles protect the holder from both weather-related damage and powder.
rich-mulch,Rich Mulch,200,Items,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
surprise-mulch,Surprise Mulch,200,Items,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
boost-mulch,Boost Mulch,200,Items,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
amaze-mulch,Amaze Mulch,200,Items,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
gengarite,Gengarite,0,Items,"One of a variety of mysterious Mega Stones. Have Gengar hold it, and this stone will enable it to Mega Evolve during battle."
gardevoirite,Gardevoirite,0,Items,"One of a variety of mysterious Mega Stones. Have Gardevoir hold it, and this stone will enable it to Mega Evolve during battle."
ampharosite,Ampharosite,0,Items,"One of a variety of mysterious Mega Stones. Have Ampharos hold it, and this stone will enable it to Mega Evolve during battle."
venusaurite,Venusaurite,0,Items,"One of a variety of mysterious Mega Stones. Have Venusaur hold it, and this stone will enable it to Mega Evolve during battle."
charizardite-x,Charizardite X,0,Items,"One of a variety of mysterious Mega Stones. Have Charizard hold it, and this stone will enable it to Mega Evolve during battle."
blastoisinite,Blastoisinite,0,Items,"One of a variety of mysterious Mega Stones. Have Blastoise hold it, and this stone will enable it to Mega Evolve during battle."
mewtwonite-x,Mewtwonite X,0,Items,"One of a variety of mysterious Mega Stones. Have Mewtwo hold it, and this stone will enable it to Mega Evolve during battle."
mewtwonite-y,Mewtwonite Y,0,Items,"One of a variety of mysterious Mega Stones. Have Mewtwo hold it, and this stone will enable it to Mega Evolve during battle."
blazikenite,Blazikenite,0,Items,"One of a variety of mysterious Mega Stones. Have Blaziken hold it, and this stone will enable it to Mega Evolve during battle."
medichamite,Medichamite,0,Items,"One of a variety of mysterious Mega Stones. Have Medicham hold it, and this stone will enable it to Mega Evolve during battle."
houndoominite,Houndoominite,0,Items,"One of a variety of mysterious Mega Stones. Have Houndoom hold it, and this stone will enable it to Mega Evolve during battle."
aggronite,Aggronite,0,Items,"One of a variety of mysterious Mega Stones. Have Aggron hold it, and this stone will enable it to Mega Evolve during battle."
banettite,Banettite,0,Items,"One of a variety of mysterious Mega Stones. Have Banette hold it, and this stone will enable it to Mega Evolve during battle."
tyranitarite,Tyranitarite,0,Items,"One of a variety of mysterious Mega Stones. Have Tyranitar hold it, and this stone will enable it to Mega Evolve during battle."
scizorite,Scizorite,0,Items,"One of a variety of mysterious Mega Stones. Have Scizor hold it, and this stone will enable it to Mega Evolve during battle."
pinsirite,Pinsirite,0,Items,"One of a variety of mysterious Mega Stones. Have Pinsir hold it, and this stone will enable it to Mega Evolve during battle."
aerodactylite,Aerodactylite,0,Items,"One of a variety of mysterious Mega Stones. Have Aerodactyl hold it, and this stone will enable it to Mega Evolve during battle."
lucarionite,Lucarionite,0,Items,"One of a variety of mysterious Mega Stones. Have Lucario hold it, and this stone will enable it to Mega Evolve during battle."
abomasite,Abomasite,0,Items,"One of a variety of mysterious Mega Stones. Have Abomasnow hold it, and this stone will enable it to Mega Evolve during battle."
kangaskhanite,Kangaskhanite,0,Items,"One of a variety of mysterious Mega Stones. Have Kangaskhan hold it, and this stone will enable it to Mega Evolve during battle."
gyaradosite,Gyaradosite,0,Items,"One of a variety of mysterious Mega Stones. Have Gyarados hold it, and this stone will enable it to Mega Evolve during battle."
absolite,Absolite,0,Items,"One of a variety of mysterious Mega Stones. Have Absol hold it, and this stone will enable it to Mega Evolve during battle."
charizardite-y,Charizardite Y,0,Items,"One of a variety of mysterious Mega Stones. Have Charizard hold it, and this stone will enable it to Mega Evolve during battle."
alakazite,Alakazite,0,Items,"One of a variety of mysterious Mega Stones. Have Alakazam hold it, and this stone will enable it to Mega Evolve during battle."
heracronite,Heracronite,0,Items,"One of a variety of mysterious Mega Stones. Have Heracross hold it, and this stone will enable it to Mega Evolve during battle."
mawilite,Mawilite,0,Items,"One of a variety of mysterious Mega Stones. Have Mawile hold it, and this stone will enable it to Mega Evolve during battle."
manectite,Manectite,0,Items,"One of a variety of mysterious Mega Stones. Have Manectric hold it, and this stone will enable it to Mega Evolve during battle."
garchompite,Garchompite,0,Items,"One of a variety of mysterious Mega Stones. Have Garchomp hold it, and this stone will enable it to Mega Evolve during battle."
roseli-berry,Roseli Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fairy-type attack."
kee-berry,Kee Berry,20,Berries,"If held by a Pokémon, this Berry will increase the holder’s Defense if it’s hit with a physical move."
maranga-berry,Maranga Berry,20,Berries,"If held by a Pokémon, this Berry will increase the holder’s Sp. Def if it’s hit with a special move."
discount-coupon,Discount Coupon,20,Items,This special coupon allows you to buy items at a discount when you are shopping at a boutique.
strange-souvenir,Strange Souvenir,3000,Items,An ornament depicting a mysterious Pokémon that has been venerated as a guardian deity for an extremely long time in the Alola region.
lumiose-galette,Lumiose Galette,350,Medicine,A popular treat in Lumiose City. It can be used once to heal all the status conditions of a Pokémon.
jaw-fossil,Jaw Fossil,7000,Items,A fossil from a prehistoric Pokémon that once lived on the land. It looks as if it could be a piece of a large jaw.
sail-fossil,Sail Fossil,7000,Items,A fossil from a prehistoric Pokémon that once lived on the land. It looks like the impression from a skin sail.
fairy-gem,Fairy Gem,200,Items,"A gem with an essence of the fey. When held, it strengthens the power of a Fairy-type move one time."
adventure-rules,Adventure Rules,0,Key Items,This book contains all the points a new Trainer needs to know on a journey. It was handmade by a kind friend.
elevator-key,Elevator Key,0,Key Items,A card key that activates the elevator in Lysandre Labs. It is emblazoned with Team Flare’s logo.
holo-caster,Holo Caster,0,Key Items,A device that allows users to receive and view hologram clips at any time. It is also used to chat with others.
honor-of-kalos,Honor of Kalos,0,Key Items,A precious symbol that is awarded only to an individual who has done great things for the Kalos region.
intriguing-stone,Intriguing Stone,0,Key Items,A rather curious stone that might appear valuable to some. It’s all in the eye of the beholder.
lens-case,Lens Case,0,Key Items,A rather chic-looking case for carrying contact lenses.
looker-ticket,Looker Ticket,0,Key Items,A ticket that was handmade by Looker. It’s decorated with a liberal amount of glittery paint.
mega-ring,Mega Ring,0,Key Items,This ring contains an untold power that somehow enables Pokémon carrying Mega Stones to Mega Evolve in battle.
power-plant-pass,Power Plant Pass,0,Key Items,This pass serves as an ID card for gaining access to the power plant that lies along Route 13.
profs-letter,Prof’s Letter,0,Key Items,A letter that Professor Sycamore wrote to your mother. A faint but pleasant perfume seems to cling to the paper.
roller-skates,Roller Skates,0,Key Items,"Attaches roller skates to the bottom of your shoes, allowing you to glide quickly around and perform tricks."
sprinklotad,Sprinklotad,0,Key Items,"A watering can shaped like a Lotad. It helps promote the healthy growth of any Berries planted in good, soft soil."
tmv-pass,TMV Pass,0,Key Items,A commuter pass that allows the holder to ride the TMV between Lumiose City and Kiloude City at any time.
latiasite,Latiasite,0,Items,"One of a variety of mysterious Mega Stones. Have Latias hold it, and this stone will enable it to Mega Evolve during battle."
latiosite,Latiosite,0,Items,"One of a variety of mysterious Mega Stones. Have Latios hold it, and this stone will enable it to Mega Evolve during battle."
common-stone,Common Stone,0,Key Items,A perfectly normal stone that might appear to be valuable to some. It’s all in the eye of the beholder.
makeup-bag,Makeup Bag,0,Key Items,A rather chic-looking case for carrying lipsticks.
travel-trunk,Travel Trunk,0,Key Items,"A light and yet incredibly effective trunk, which can contain every last piece of clothing that can be bought."
shalour-sable,Shalour Sable,350,Medicine,Shalour City’s famous shortbread. It can be used once to heal all the status conditions of a Pokémon.
mega-charm,Mega Charm,0,Key Items,This charm contains an untold power that somehow enables Pokémon carrying Mega Stones to Mega Evolve in battle.
devon-parts,Devon Parts,0,Key Items,A case that contains mechanical parts of some sort made by the Devon Corporation.
pokeblock-kit,Pokéblock Kit,0,Key Items,A set containing a Berry Blender for making Pokéblocks and a Pokéblock Case for storing Pokéblocks.
key-to-room-1,Key to Room 1,0,Key Items,A key that opens a door inside Sea Mauville.
key-to-room-2,Key to Room 2,0,Key Items,A key that opens a door inside Sea Mauville.
key-to-room-4,Key to Room 4,0,Key Items,A key that opens a door inside Sea Mauville.
key-to-room-6,Key to Room 6,0,Key Items,A key that opens a door inside Sea Mauville.
devon-scuba-gear,Devon Scuba Gear,0,Key Items,A device made by Devon Corporation that provides oxygen to users during the use of Dive.
contest-costume--jacket,Contest Costume,0,Key Items,A very cool suit to be worn during the Contest Spectacular.
magma-suit,Magma Suit,0,Key Items,A suit made with the collective technological know-how of Team Magma. It can withstand any impact.
aqua-suit,Aqua Suit,0,Key Items,A suit made with the collective technological know-how of Team Aqua. It can withstand any impact.
pair-of-tickets,Pair of Tickets,0,Key Items,Tickets for two to the astronomical show being held at the Mossdeep Space Center.
swampertite,Swampertite,0,Items,"One of a variety of mysterious Mega Stones. Have Swampert hold it, and this stone will enable it to Mega Evolve during battle."
sceptilite,Sceptilite,0,Items,"One of a variety of mysterious Mega Stones. Have Sceptile hold it, and this stone will enable it to Mega Evolve during battle."
sablenite,Sablenite,0,Items,"One of a variety of mysterious Mega Stones. Have Sableye hold it, and this stone will enable it to Mega Evolve during battle."
altarianite,Altarianite,0,Items,"One of a variety of mysterious Mega Stones. Have Altaria hold it, and this stone will enable it to Mega Evolve during battle."
galladite,Galladite,0,Items,"One of a variety of mysterious Mega Stones. Have Gallade hold it, and this stone will enable it to Mega Evolve during battle."
audinite,Audinite,0,Items,"One of a variety of mysterious Mega Stones. Have Audino hold it, and this stone will enable it to Mega Evolve during battle."
metagrossite,Metagrossite,0,Items,"One of a variety of mysterious Mega Stones. Have Metagross hold it, and this stone will enable it to Mega Evolve during battle."
sharpedonite,Sharpedonite,0,Items,"One of a variety of mysterious Mega Stones. Have Sharpedo hold it, and this stone will enable it to Mega Evolve during battle."
slowbronite,Slowbronite,0,Items,"One of a variety of mysterious Mega Stones. Have Slowbro hold it, and this stone will enable it to Mega Evolve during battle."
steelixite,Steelixite,0,Items,"One of a variety of mysterious Mega Stones. Have Steelix hold it, and this stone will enable it to Mega Evolve during battle."
pidgeotite,Pidgeotite,0,Items,"One of a variety of mysterious Mega Stones. Have Pidgeot hold it, and this stone will enable it to Mega Evolve during battle."
glalitite,Glalitite,0,Items,"One of a variety of mysterious Mega Stones. Have Glalie hold it, and this stone will enable it to Mega Evolve during battle."
diancite,Diancite,0,Items,"One of a variety of mysterious Mega Stones. Have Diancie hold it, and this stone will enable it to Mega Evolve during battle."
prison-bottle,Prison Bottle,0,Key Items,"A bottle believed to have been used to seal away the power of a certain Pokémon long, long ago."
mega-cuff,Mega Cuff,0,Key Items,This bracelet contains an untold power that somehow enables Pokémon carrying a Mega Stone to Mega Evolve in battle.
cameruptite,Cameruptite,0,Items,"One of a variety of mysterious Mega Stones. Have Camerupt hold it, and this stone will enable it to Mega Evolve during battle."
lopunnite,Lopunnite,0,Items,"One of a variety of mysterious Mega Stones. Have Lopunny hold it, and this stone will enable it to Mega Evolve during battle."
salamencite,Salamencite,0,Items,"One of a variety of mysterious Mega Stones. Have Salamence hold it, and this stone will enable it to Mega Evolve during battle."
beedrillite,Beedrillite,0,Items,"One of a variety of mysterious Mega Stones. Have Beedrill hold it, and this stone will enable it to Mega Evolve during battle."
key-stone,Key Stone,0,Key Items,A stone filled with an unexplained power. It makes Pokémon that battle with a Mega Stone Mega Evolve.
meteorite-shard,Meteorite Shard,0,Key Items,One of the fragments of a Meteorite from Granite Cave. It’s faintly warm to the touch.
eon-flute,Eon Flute,0,Key Items,A flute that can be used to summon Latios or Latias no matter where you are.
normalium-z,Normalium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Normal-type moves to Z-Moves.
firium-z,Firium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Fire-type moves to Z-Moves.
waterium-z,Waterium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Water-type moves to Z-Moves.
electrium-z,Electrium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Electric-type moves to Z-Moves.
grassium-z,Grassium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Grass-type moves to Z-Moves.
icium-z,Icium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Ice-type moves to Z-Moves.
fightinium-z,Fightinium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Fighting-type moves to Z-Moves.
poisonium-z,Poisonium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Poison-type moves to Z-Moves.
groundium-z,Groundium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Ground-type moves to Z-Moves.
flyinium-z,Flyinium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Flying-type moves to Z-Moves.
psychium-z,Psychium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Psychic-type moves to Z-Moves.
buginium-z,Buginium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Bug-type moves to Z-Moves.
rockium-z,Rockium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Rock-type moves to Z-Moves.
ghostium-z,Ghostium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Ghost-type moves to Z-Moves.
dragonium-z,Dragonium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Dragon-type moves to Z-Moves.
darkinium-z,Darkinium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Dark-type moves to Z-Moves.
steelium-z,Steelium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Steel-type moves to Z-Moves.
fairium-z,Fairium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Fairy-type moves to Z-Moves.
pikanium-z,Pikanium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Pikachu’s Volt Tackle to a Z-Move.
bottle-cap,Bottle Cap,5000,Items,A beautiful bottle cap that gives off a silver gleam. Some people are happy to receive one.
gold-bottle-cap,Gold Bottle Cap,10000,Items,A beautiful bottle cap that gives off a golden gleam. Some people are happy to receive one.
z-ring,Z-Ring,0,Key Items,A mysterious ring that enables Pokémon to use Z-Power. It requires both the willpower and the physical power of the Trainer wearing it.
decidium-z,Decidium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Decidueye’s Spirit Shackle to a Z-Move.
incinium-z,Incinium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Incineroar’s Darkest Lariat to a Z-Move.
primarium-z,Primarium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Primarina’s Sparkling Aria to a Z-Move.
tapunium-z,Tapunium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades the tapu’s Nature’s Madness to a Z-Move.
marshadium-z,Marshadium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Marshadow’s Spectral Thief to a Z-Move.
aloraichium-z,Aloraichium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Alolan Raichu’s Thunderbolt to a Z-Move.
snorlium-z,Snorlium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Snorlax’s Giga Impact to a Z-Move.
eevium-z,Eevium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Eevee’s Last Resort to a Z-Move.
mewnium-z,Mewnium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades Mew’s Psychic to a Z-Move.
pikashunium-z,Pikashunium Z,0,Key Items,This is a crystallized form of Z-Power. It upgrades a Thunderbolt by Pikachu in a cap to a Z-Move.
forage-bag,Forage Bag,0,Key Items,A bag to carry ingredients gathered during Mallow’s trial in the jungle.
fishing-rod,Fishing Rod,0,Key Items,A fishing rod made by Captain Lana. Cast a line over piles of underwater rocks to fish for wild aquatic Pokémon.
professors-mask,Professor’s Mask,0,Key Items,The mask that belongs to The Masked Royal.  This pro wrestler apparently sews his mask on a machine himself.
festival-ticket,Festival Ticket,10,Key Items,A ticket that allows you to host a mission in Festival Plaza.
sparkling-stone,Sparkling Stone,0,Key Items,A stone entrusted by a Pokémon that has been venerated as a guardian deity in the Alola region. There is said to be some secret in how it sparkles.
adrenaline-orb,Adrenaline Orb,300,Items,"Using it makes wild Pokémon call for help a number of times. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once."
zygarde-cube,Zygarde Cube,0,Key Items,An item to store Zygarde Cores and Cells. You can also use it to teach Zygarde moves.
ice-stone,Ice Stone,3000,Items,A peculiar stone that can make certain species of Pokémon evolve. It has an unmistakable snowflake pattern.
ride-pager,Ride Pager,0,Key Items,"By entering certain numbers on this pager, you can summon Ride Pokémon in an instant."
beast-ball,Beast Ball,0,Poké Balls,A special Poké Ball designed to catch Ultra Beasts. It has a low success rate for catching others.
big-malasada,Big Malasada,350,Medicine,The Alola region’s local specialty—fried bread. It can be used once to heal all the status conditions of a Pokémon.
