pokemon_identifier,entry_number,flavor_text
giratina,2,It was banished for its violence. It silently gazed upon the old world from the Distortion World.
giratina-origin,1,"This Pokémon is said to live in a world on the reverse side of ours, where common knowledge is distorted and strange."
giratina-origin,2,It was banished for its violence. It silently gazed upon the old world from the Distortion World.
cresselia,1,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.
cresselia,2,Those who sleep holding Cresselia’s feather are assured of joyful dreams. It is said to represent the crescent moon.
phione,1,"When the water warms, they inflate the flotation sac on their heads and drift languidly on the sea in packs."
phione,2,"It drifts in warm seas. It always returns to where it was born, no matter how far it may have drifted."
manaphy,1,It is born with a wondrous power that lets it bond with any kind of Pokémon.
manaphy,2,It starts its life with a wondrous power that permits it to bond with any kind of Pokémon.
darkrai,1,"It chases people and Pokémon from its territory by causing them to experience deep, nightmarish slumbers."
darkrai,2,It can lull people to sleep and make them dream. It is active during nights of the new moon.
shaymin,1,It can dissolve toxins in the air to instantly transform ruined land into a lush field of flowers.
shaymin,2,The blooming of Gracidea flowers confers the power of flight upon it. Feelings of gratitude are the message it delivers.
shaymin-sky,1,It can dissolve toxins in the air to instantly transform ruined land into a lush field of flowers.
shaymin-sky,2,The blooming of Gracidea flowers confers the power of flight upon it. Feelings of gratitude are the message it delivers.
arceus,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-fire,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-fire,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-water,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-water,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-grass,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-grass,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-electric,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-electric,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-ice,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-ice,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-fighting,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-fighting,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-poison,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-poison,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-ground,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-ground,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-flying,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-flying,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-psychic,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-psychic,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-bug,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-bug,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-rock,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-rock,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-ghost,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-ghost,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-dragon,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-dragon,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-dark,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-dark,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-steel,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-steel,2,It is told in mythology that this Pokémon was born before the universe even existed.
arceus-fairy,1,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world."
arceus-fairy,2,It is told in mythology that this Pokémon was born before the universe even existed.
victini,1,"This Pokémon brings victory. It is said that Trainers with Victini always win, regardless of the type of encounter."
victini,2,"When it shares the infinite energy it creates, that being’s entire body will be overflowing with power."
snivy,1,Being exposed to sunlight makes its movements swifter. It uses vines more adeptly than its hands.
snivy,2,"They photosynthesize by bathing their tails in sunlight. When they are not feeling well, their tails droop."
servine,1,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip."
servine,2,"When it gets dirty, its leaves can’t be used in photosynthesis, so it always keeps itself clean."
serperior,1,It only gives its all against strong opponents who are not fazed by the glare from Serperior’s noble eyes.
serperior,2,It can stop its opponents’ movements with just a glare. It takes in solar energy and boosts it internally.
tepig,1,It can deftly dodge its foe’s attacks while shooting fireballs from its nose. It roasts berries before it eats them.
tepig,2,"It loves to eat roasted berries, but sometimes it gets too excited and burns them to a crisp."
pignite,1,"The more it eats, the more fuel it has to make the fire in its stomach stronger. This fills it with even more power."
pignite,2,"When its internal fire flares up, its movements grow sharper and faster. When in trouble, it emits smoke."
emboar,1,It can throw a fire punch by setting its fists on fire with its fiery chin. It cares deeply about its friends.
emboar,2,It has mastered fast and powerful fighting moves. It grows a beard of fire.
oshawott,1,The scalchop on its stomach isn’t just used for battle--it can be used to break open hard berries as well.
oshawott,2,"It fights using the scalchop on its stomach. In response to an attack, it retaliates immediately by slashing."
dewott,1,Strict training is how it learns its flowing double-scalchop technique.
dewott,2,"As a result of strict training, each Dewott learns different forms for using the scalchops."
samurott,1,"In the time it takes a foe to blink, it can draw and sheathe the seamitars attached to its front legs."
samurott,2,One swing of the sword incorporated in its armor can fell an opponent. A simple glare from one of them quiets everybody.
patrat,1,"Using food stored in cheek pouches, they can keep watch for days. They use their tails to communicate with others."
patrat,2,"Extremely cautious, one of them will always be on the lookout, but it won’t notice a foe coming from behind."
watchog,1,"Using luminescent matter, it makes its eyes and body glow and stuns attacking opponents."
watchog,2,"When they see an enemy, their tails stand high, and they spit the seeds of berries stored in their cheek pouches."
lillipup,1,This Pokémon is courageous but also cautious. It uses the soft fur covering its face to collect information about its surroundings.
lillipup,2,"This Pokémon is far brighter than the average child, and Lillipup won’t forget the love it receives or any abuse it suffers."
herdier,1,Herdier is a very smart and friendly Pokémon. So much so that there’s a theory that Herdier was the first Pokémon to partner with people.
herdier,2,The black fur that covers this Pokémon’s body is dense and springy. Even sharp fangs bounce right off.
stoutland,1,These Pokémon seem to enjoy living with humans. Even a Stoutland caught in the wild will warm up to people in about three days.
stoutland,2,Stoutland is immensely proud of its impressive moustache. It’s said that moustache length is what determines social standing among this species.
purrloin,1,It steals things from people just to amuse itself with their frustration. A rivalry exists between this Pokémon and Nickit.
purrloin,2,Opponents that get drawn in by its adorable behavior come away with stinging scratches from its claws and stinging pride from its laughter.
liepard,1,Don’t be fooled by its gorgeous fur and elegant figure. This is a moody and vicious Pokémon.
liepard,2,This stealthy Pokémon sneaks up behind prey without making any sound at all. It competes with Thievul for territory.
pansage,1,It shares the leaf on its head with weary-looking Pokémon. These leaves are known to relieve stress.
pansage,2,It’s good at finding berries and gathers them from all over. It’s kind enough to share them with friends.
simisage,1,It attacks enemies with strikes of its thorn-covered tail. This Pokémon is wild tempered.
simisage,2,"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter."
pansear,1,"Very intelligent, it roasts berries before eating them. It likes to help people."
pansear,2,This Pokémon lives in caves in volcanoes. The fire within the tuft on its head can reach 600 degrees Fahrenheit.
simisear,1,A flame burns inside its body. It scatters embers from its head and tail to sear its opponents.
simisear,2,"When it gets excited, embers rise from its head and tail and it gets hot. For some reason, it loves sweets."
panpour,1,The water stored inside the tuft on its head is full of nutrients. It waters plants with it using its tail.
panpour,2,The water stored inside the tuft on its head is full of nutrients. Plants that receive its water grow large.
simipour,1,"The high-pressure water expelled from its tail is so powerful, it can destroy a concrete wall."
simipour,2,"It prefers places with clean water. When its tuft runs low, it replenishes it by siphoning up water with its tail."
munna,1,"Late at night, it appears beside people’s pillows. As it feeds on dreams, the patterns on its body give off a faint glow."
munna,2,"It eats dreams and releases mist. The mist is pink when it’s eating a good dream, and black when it’s eating a nightmare."
musharna,1,"When dark mists emanate from its body, don’t get too near. If you do, your nightmares will become reality."
musharna,2,"It drowses and dreams all the time. It’s best to leave it be if it’s just woken up, as it’s a terrible grump when freshly roused from sleep."
pidove,1,"Where people go, these Pokémon follow. If you’re scattering food for them, be careful— several hundred of them can gather at once."
pidove,2,"It’s forgetful and not very bright, but many Trainers love it anyway for its friendliness and sincerity."
tranquill,1,"It can fly moderately quickly. No matter how far it travels, it can always find its way back to its master and its nest."
tranquill,2,These bright Pokémon have acute memories. Apparently delivery workers often choose them as their partners.
unfezant,1,"Unfezant are exceptional fliers. The females are known for their stamina, while the males outclass them in terms of speed."
unfezant,2,This Pokémon is intelligent and intensely proud. People will sit up and take notice if you become the Trainer of one.
blitzle,1,"When thunderclouds cover the sky, it will appear. It can catch lightning with its mane and store the electricity."
blitzle,2,Its mane shines when it discharges electricity. They use the frequency and rhythm of these flashes to communicate.
zebstrika,1,"When this ill-tempered Pokémon runs wild, it shoots lightning from its mane in all directions."
zebstrika,2,"They have lightning-like movements. When Zebstrika run at full speed, the sound of thunder reverberates."
roggenrola,1,"It’s as hard as steel, but apparently a long soak in water will cause it to soften a bit."
roggenrola,2,"When it detects a noise, it starts to move. The energy core inside it makes this Pokémon slightly warm to the touch."
boldore,1,"If you see its orange crystals start to glow, be wary. It’s about to fire off bursts of energy."
boldore,2,"It relies on sound in order to monitor what’s in its vicinity. When angered, it will attack without ever changing the direction it’s facing."
gigalith,1,"This hardy Pokémon can often be found on construction sites and in mines, working alongside people and Copperajah."
gigalith,2,"Although its energy blasts can blow away a dump truck, they have a limitation— they can only be fired when the sun is out."
woobat,1,"While inside a cave, if you look up and see lots of heart-shaped marks lining the walls, it’s evidence that Woobat live there."
woobat,2,"It emits ultrasonic waves as it flutters about, searching for its prey—bug Pokémon."
swoobat,1,"Emitting powerful sound waves tires it out. Afterward, it won’t be able to fly for a little while."
swoobat,2,The auspicious shape of this Pokémon’s nose apparently led some regions to consider Swoobat a symbol of good luck.
drilbur,1,It brings its claws together and whirls around at high speed before rushing toward its prey.
drilbur,2,"It’s a digger, using its claws to burrow through the ground. It causes damage to vegetable crops, so many farmers have little love for it."
excadrill,1,It’s not uncommon for tunnels that appear to have formed naturally to actually be a result of Excadrill’s rampant digging.
excadrill,2,"Known as the Drill King, this Pokémon can tunnel through the terrain at speeds of over 90 mph."
audino,1,Audino’s sense of hearing is superb. Not even a pebble rolling along over a mile away will escape Audino’s ears.
audino,2,"This Pokémon has a kind heart. By touching with its feelers, Audino can gauge other creatures’ feelings and physical conditions."
audino-mega,1,Audino’s sense of hearing is superb. Not even a pebble rolling along over a mile away will escape Audino’s ears.
audino-mega,2,"This Pokémon has a kind heart. By touching with its feelers, Audino can gauge other creatures’ feelings and physical conditions."
timburr,1,"It loves helping out with construction projects. It loves it so much that if rain causes work to halt, it swings its log around and throws a tantrum."
timburr,2,Timburr that have started carrying logs that are about three times their size are nearly ready to evolve.
gurdurr,1,"It shows off its muscles to Machoke and other Gurdurr. If it fails to measure up to the other Pokémon, it lies low for a little while."
gurdurr,2,"Gurdurr excels at demolition—construction is not its forte. In any case, there’s skill in the way this Pokémon wields its metal beam."
conkeldurr,1,"Concrete mixed by Conkeldurr is much more durable than normal concrete, even when the compositions of the two materials are the same."
conkeldurr,2,"When going all out, this Pokémon throws aside its concrete pillars and leaps at opponents to pummel them with its fists."
tympole,1,Graceful ripples running across the water’s surface are a sure sign that Tympole are singing in high-pitched voices below.
tympole,2,It uses sound waves to communicate with others of its kind. People and other Pokémon species can’t hear its cries of warning.
palpitoad,1,"It weakens its prey with sound waves intense enough to cause headaches, then entangles them with its sticky tongue."
palpitoad,2,"On occasion, their cries are sublimely pleasing to the ear. Palpitoad with larger lumps on their bodies can sing with a wider range of sounds."
seismitoad,1,The vibrating of the bumps all over its body causes earthquake-like tremors. Seismitoad and Croagunk are similar species.
seismitoad,2,"This Pokémon is popular among the elderly, who say the vibrations of its lumps are great for massages."
throh,1,"It performs throwing moves with first-rate skill. Over the course of many battles, Throh’s belt grows darker as it absorbs its wearer’s sweat."
throh,2,They train in groups of five. Any member that can’t keep up will discard its belt and leave the group.
sawk,1,"If you see a Sawk training in the mountains in its single-minded pursuit of strength, it’s best to quietly pass by."
sawk,2,The karate chops of a Sawk that’s trained itself to the limit can cleave the ocean itself.
sewaddle,1,This Pokémon makes clothes for itself. It chews up leaves and sews them with sticky thread extruded from its mouth.
sewaddle,2,"Since this Pokémon makes its own clothes out of leaves, it is a popular mascot for fashion designers."
swadloon,1,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.
swadloon,2,"It protects itself from the cold by wrapping up in leaves. It stays on the move, eating leaves in forests."
leavanny,1,"Upon finding a small Pokémon, it weaves clothing for it from leaves by using the sticky silk secreted from its mouth."
leavanny,2,It keeps its eggs warm with heat from fermenting leaves. It also uses leaves to make warm wrappings for Sewaddle.
venipede,1,"Venipede and Sizzlipede are similar species, but when the two meet, a huge fight ensues."
venipede,2,"Its fangs are highly venomous. If this Pokémon finds prey it thinks it can eat, it leaps for them without any thought of how things might turn out."
whirlipede,1,This Pokémon spins itself rapidly and charges into its opponents. Its top speed is just over 60 mph.
whirlipede,2,Whirlipede protects itself with a sturdy shell and poisonous spikes while it stores up the energy it’ll need for evolution.
scolipede,1,Scolipede latches on to its prey with the claws on its neck before slamming them into the ground and jabbing them with its claws’ toxic spikes.
scolipede,2,"Scolipede engage in fierce territorial battles with Centiskorch. At the end of one of these battles, the victor makes a meal of the loser."
cottonee,1,"It shoots cotton from its body to protect itself. If it gets caught up in hurricane-strength winds, it can get sent to the other side of the Earth."
cottonee,2,Weaving together the cotton of both Cottonee and Eldegoss produces exquisite cloth that’s highly prized by many luxury brands.
whimsicott,1,"It scatters cotton all over the place as a prank. If it gets wet, it’ll become too heavy to move and have no choice but to answer for its mischief."
whimsicott,2,"As long as this Pokémon bathes in sunlight, its cotton keeps growing. If too much cotton fluff builds up, Whimsicott tears it off and scatters it."
petilil,1,Petilil appears around sources of clean water. Boiling leaves from this Pokémon’s head results in a liquid that’s sometimes used as a bug repellent.
petilil,2,"The deeper the color of a Petilil’s leaves, the healthier the Pokémon is. Petilil sometimes makes its home in a well-tended field or flowerbed."
lilligant,1,It’s believed that even first-rate gardeners have a hard time getting the flower on a Lilligant’s head to bloom.
lilligant,2,"Essential oils made from Lilligant flowers have a sublime scent, but they’re also staggeringly expensive."
basculin-red-striped,1,Anglers love the fight this Pokémon puts up on the hook. And there are always more to catch— many people release them into lakes illicitly.
basculin-red-striped,2,"In the past, it often appeared on the dinner table. The meat of red-striped Basculin is on the fatty side, and it’s more popular with the youth."
basculin-blue-striped,1,"Blue-striped Basculin used to be a common food source. They apparently have an inoffensive, light flavor. "
basculin-blue-striped,2,"Known for their violence, these Pokémon have the most fights with schools of red-striped Basculin. "
sandile,1,"The desert gets cold at night, so when the sun sets, this Pokémon burrows deep into the sand and sleeps until sunrise."
sandile,2,"Sandile is small, but its legs and lower body are powerful. Pushing sand aside as it goes, Sandile moves through the desert as if it’s swimming."
krokorok,1,Krokorok has specialized eyes that enable it to see in the dark. This ability lets Krokorok hunt in the dead of night without getting lost.
krokorok,2,"Although this Pokémon has specialized eyes that allow it to see in the dark, Krokorok won’t move much at night—the desert gets cold after sunset."
krookodile,1,This Pokémon is known as the Bully of the Sands. Krookodile’s mighty jaws can bite through heavy plates of iron with almost no effort at all.
krookodile,2,"While terribly aggressive, Krookodile also has the patience to stay hidden under sand for days, lying in wait for prey."
darumaka,1,"It derives its power from fire burning inside its body. If the fire dwindles, this Pokémon will immediately fall asleep."
darumaka,2,"This popular symbol of good fortune will never fall over in its sleep, no matter how it’s pushed or pulled."
darumaka-galar,1,It lived in snowy areas for so long that its fire sac cooled off and atrophied. It now has an organ that generates cold instead. 
darumaka-galar,2,"The colder they get, the more energetic they are. They freeze their breath to make snowballs, using them as ammo for playful snowball fights. "
darmanitan,1,The thick arms of this hot-blooded Pokémon can deliver punches capable of obliterating a dump truck.
darmanitan,2,"This Pokémon’s power level rises along with the temperature of its fire, which can reach 2,500 degrees Fahrenheit."
darmanitan-zen,1,"Through meditation, it calms its raging spirit and hones its psychic powers. "
darmanitan-zen,2,"When wounded, it stops moving. It goes as still as stone to meditate, sharpening its mind and spirit. "
darmanitan-galar,1,"On days when blizzards blow through, it comes down to where people live. It stashes food in the snowball on its head, taking it home for later. "
darmanitan-galar,2,"Though it has a gentle disposition, it's also very strong. It will quickly freeze the snowball on its head before going for a headbutt. "
darmanitan-galar-zen,1,Anger has reignited its atrophied flame sac. This Pokémon spews fire everywhere as it rampages indiscriminately. 
darmanitan-galar-zen,2,"Darmanitan takes this form when enraged. It won't stop spewing flames until its rage has settled, even if its body starts to melt. "
maractus,1,"With noises that could be mistaken for the rattles of maracas, it creates an upbeat rhythm, startling bird Pokémon and making them fly off in a hurry."
maractus,2,"Once each year, this Pokémon scatters its seeds. They’re jam-packed with nutrients, making them a precious food source out in the desert."
dwebble,1,"When it finds a stone appealing, it creates a hole inside it and uses it as its home. This Pokémon is the natural enemy of Roggenrola and Rolycoly."
dwebble,2,"It first tries to find a rock to live in, but if there are no suitable rocks to be found, Dwebble may move in to the ports of a Hippowdon."
crustle,1,This highly territorial Pokémon prefers dry climates. It won’t come out of its boulder on rainy days.
crustle,2,Its thick claws are its greatest weapons. They’re mighty enough to crack Rhyperior’s carapace.
scraggy,1,"If it locks eyes with you, watch out! Nothing and no one is safe from the reckless headbutts of this troublesome Pokémon."
scraggy,2,It protects itself with its durable skin. It’s thought that this Pokémon will evolve once its skin has completely stretched out.
scrafty,1,"As halfhearted as this Pokémon’s kicks may seem, they pack enough power to shatter Conkeldurr’s concrete pillars."
scrafty,2,"While mostly known for having the temperament of an aggressive ruffian, this Pokémon takes very good care of its family, friends, and territory."
sigilyph,1,Psychic power allows these Pokémon to fly. Some say they were the guardians of an ancient city. Others say they were the guardians’ emissaries.
sigilyph,2,A discovery was made in the desert where Sigilyph fly. The ruins of what may have been an ancient city were found beneath the sands.
yamask,1,"It wanders through ruins by night, carrying a mask that’s said to have been the face it had when it was still human."
yamask,2,"The spirit of a person from a bygone age became this Pokémon. It rambles through ruins, searching for someone who knows its face."
yamask-galar,1,A clay slab with cursed engravings took possession of a Yamask. The slab is said to be absorbing the Yamask's dark power. 
yamask-galar,2,It's said that this Pokémon was formed when an ancient clay tablet was drawn to a vengeful spirit. 
cofagrigus,1,This Pokémon has a body of sparkling gold. People say it no longer remembers that it was once human.
cofagrigus,2,There are many depictions of Cofagrigus decorating ancient tombs. They’re symbols of the wealth that kings of bygone eras had.
tirtouga,1,"This Pokémon inhabited ancient seas. Although it can only crawl, it still comes up onto land in search of prey."
tirtouga,2,Tirtouga is considered to be the ancestor of many turtle Pokémon. It was restored to life from a fossil.
carracosta,1,"Carracosta completely devours its prey—bones, shells, and all. Because of this, Carracosta’s own shell grows thick and sturdy."
carracosta,2,This Pokémon emerges from the water in search of prey despite the fact that it moves more slowly on land.
archen,1,"This Pokémon was successfully restored from a fossil. As research suggested, Archen is unable to fly. But it’s very good at jumping."
archen,2,"Archen is said to be the ancestor of bird Pokémon. It lived in treetops, eating berries and bug Pokémon."
archeops,1,"It needs a running start to take off. If Archeops wants to fly, it first needs to run nearly 25 mph, building speed over a course of about 2.5 miles."
archeops,2,"Though capable of flight, Archeops was apparently better at hunting on the ground."
trubbish,1,"Its favorite places are unsanitary ones. If you leave trash lying around, you could even find one of these Pokémon living in your room."
trubbish,2,This Pokémon was born from a bag stuffed with trash. Galarian Weezing relish the fumes belched by Trubbish.
garbodor,1,"This Pokémon eats trash, which turns into poison inside its body. The main component of the poison depends on what sort of trash was eaten."
garbodor,2,The toxic liquid it launches from its right arm is so virulent that it can kill a weakened creature instantly.
garbodor-gigantamax,1,"Due to Gigantamax energy, this Pokémon's toxic gas has become much thicker, congealing into masses shaped like discarded toys. "
garbodor-gigantamax,2,"It sprays toxic gas from its mouth and fingers. If the gas engulfs you, the toxins will seep in all the way down to your bones. "
zorua,1,Zorua is a timid Pokémon. This disposition seems to be what led to the development of Zorua’s ability to take on the forms of other creatures.
zorua,2,"Zorua sometimes transforms into a person and goes into cities to search for food. When Zorua does this, it usually takes on the form of a child."
zoroark,1,"This Pokémon cares deeply about others of its kind, and it will conjure terrifying illusions to keep its den and pack safe."
zoroark,2,"Seeking to ease the burden of their solitude, lonely Trainers tell Zoroark to show illusions to them."
minccino,1,The way it brushes away grime with its tail can be helpful when cleaning. But its focus on spotlessness can make cleaning more of a hassle.
minccino,2,"They pet each other with their tails as a form of greeting. Of the two, the one whose tail is fluffier is a bit more boastful."
cinccino,1,Its body secretes oil that this Pokémon spreads over its nest as a coating to protect it from dust. Cinccino won’t tolerate even a speck of the stuff.
cinccino,2,A special oil that seeps through their fur helps them avoid attacks. The oil fetches a high price at market.
gothita,1,"Though they’re still only babies, there’s psychic power stored in their ribbonlike feelers, and sometimes they use that power to fight."
gothita,2,"Even when nobody seems to be around, Gothita can still be heard making a muted cry. Many believe it’s speaking to something only it can see."
gothorita,1,"It’s said that when stars shine in the night sky, this Pokémon will spirit away sleeping children. Some call it the Witch of Punishment."
gothorita,2,"On nights when the stars shine, this Pokémon’s psychic power is at its strongest. It’s unknown just what link Gothorita has to the greater universe."
gothitelle,1,"It has tremendous psychic power, but it dislikes conflict. It’s also able to predict the future based on the movement of the stars."
gothitelle,2,A criminal who was shown his fate by a Gothitelle went missing that same day and was never seen again.
solosis,1,"It communicates with others telepathically. Its body is encapsulated in liquid, but if it takes a heavy blow, the liquid will leak out."
solosis,2,Many say that the special liquid covering this Pokémon’s body would allow it to survive in the vacuum of space.
duosion,1,Its psychic power can supposedly cover a range of more than half a mile—but only if its two brains can agree with each other.
duosion,2,"Its brain has split into two, and the two halves rarely think alike. Its actions are utterly unpredictable."
reuniclus,1,"While it could use its psychic abilities in battle, this Pokémon prefers to swing its powerful arms around to beat opponents into submission."
reuniclus,2,"It’s said that drinking the liquid surrounding Reuniclus grants wisdom. Problem is, the liquid is highly toxic to anything besides Reuniclus itself."
ducklett,1,"When attacked, it uses its feathers to splash water, escaping under cover of the spray."
ducklett,2,"They are better at swimming than flying, and they happily eat their favorite food, peat moss, as they dive underwater."
swanna,1,"Despite their elegant appearance, they can flap their wings strongly and fly for thousands of miles."
swanna,2,Swanna start to dance at dusk. The one dancing in the middle is the leader of the flock.
vanillite,1,"Unable to survive in hot areas, it makes itself comfortable by breathing out air cold enough to cause snow. It burrows into the snow to sleep."
vanillite,2,"Supposedly, this Pokémon was born from an icicle. It spews out freezing air at −58 degrees Fahrenheit to make itself more comfortable."
vanillish,1,"By drinking pure water, it grows its icy body. This Pokémon can be hard to find on days with warm, sunny weather."
vanillish,2,"It blasts enemies with cold air reaching −148 degrees Fahrenheit, freezing them solid. But it spares their lives afterward—it’s a kind Pokémon."
vanilluxe,1,"When its anger reaches a breaking point, this Pokémon unleashes a fierce blizzard that freezes every creature around it, be they friend or foe."
vanilluxe,2,People believe this Pokémon formed when two Vanillish stuck together. Its body temperature is roughly 21 degrees Fahrenheit.
deerling-spring,1,Their coloring changes according to the seasons and can be slightly affected by the temperature and humidity as well.
deerling-spring,2,The turning of the seasons changes the color and scent of this Pokémon’s fur. People use it to mark the seasons.
deerling-summer,1,Their coloring changes according to the seasons and can be slightly affected by the temperature and humidity as well.
deerling-summer,2,The turning of the seasons changes the color and scent of this Pokémon’s fur. People use it to mark the seasons.
deerling-autumn,1,Their coloring changes according to the seasons and can be slightly affected by the temperature and humidity as well.
deerling-autumn,2,The turning of the seasons changes the color and scent of this Pokémon’s fur. People use it to mark the seasons.
deerling-winter,1,Their coloring changes according to the seasons and can be slightly affected by the temperature and humidity as well.
deerling-winter,2,The turning of the seasons changes the color and scent of this Pokémon’s fur. People use it to mark the seasons.
sawsbuck-spring,1,They migrate according to the seasons. People can tell the season by looking at Sawsbuck’s horns.
sawsbuck-spring,2,"They migrate according to the seasons, so some people call Sawsbuck the harbingers of spring."
sawsbuck-summer,1,They migrate according to the seasons. People can tell the season by looking at Sawsbuck’s horns.
sawsbuck-summer,2,"They migrate according to the seasons, so some people call Sawsbuck the harbingers of spring."
sawsbuck-autumn,1,They migrate according to the seasons. People can tell the season by looking at Sawsbuck’s horns.
sawsbuck-autumn,2,"They migrate according to the seasons, so some people call Sawsbuck the harbingers of spring."
sawsbuck-winter,1,They migrate according to the seasons. People can tell the season by looking at Sawsbuck’s horns.
sawsbuck-winter,2,"They migrate according to the seasons, so some people call Sawsbuck the harbingers of spring."
emolga,1,"As Emolga flutters through the air, it crackles with electricity. This Pokémon is cute, but it can cause a lot of trouble."
emolga,2,This Pokémon absolutely loves sweet berries. Sometimes it stuffs its cheeks full of so much food that it can’t fly properly.
karrablast,1,Its strange physiology reacts to electrical energy in interesting ways. The presence of a Shelmet will cause this Pokémon to evolve.
karrablast,2,It spits a liquid from its mouth to melt through Shelmet’s shell. Karrablast doesn’t eat the shell— it eats only the contents.
escavalier,1,They use shells they’ve stolen from Shelmet to arm and protect themselves. They’re very popular Pokémon in the Galar region.
escavalier,2,"It charges its enemies, lances at the ready. An image of one of its duels is captured in a famous painting of Escavalier clashing with Sirfetch’d."
foongus,1,No one knows what the Poké Ball–like pattern on Foongus means or why Foongus has it.
foongus,2,"The spores released from this Pokémon’s hands are highly poisonous, but when thoroughly dried, the spores can be used as stomach medicine."
amoonguss,1,"This Pokémon puffs poisonous spores at its foes. If the spores aren’t washed off quickly, they’ll grow into mushrooms wherever they land."
amoonguss,2,Amoonguss generally doesn’t move much. It tends to stand still near Poké Balls that have been dropped on the ground.
frillish,1,"It envelops its prey in its veillike arms and draws it down to the deeps, five miles below the ocean’s surface."
frillish,2,Legend has it that the residents of a sunken ancient city changed into these Pokémon.
jellicent,1,Most of this Pokémon’s body composition is identical to sea water. It makes sunken ships its lair.
jellicent,2,"Whenever a full moon hangs in the night sky, schools of Jellicent gather near the surface of the sea, waiting for their prey to appear."
alomomola,1,"Fishermen take them along on long voyages, because if you have an Alomomola with you, there’ll be no need for a doctor or medicine."
alomomola,2,The reason it helps Pokémon in a weakened condition is that any Pokémon coming after them may also attack Alomomola.
joltik,1,Joltik can be found clinging to other Pokémon. It’s soaking up static electricity because it can’t produce a charge on its own.
joltik,2,Joltik latch on to other Pokémon and suck out static electricity. They’re often found sticking to Yamper’s hindquarters.
galvantula,1,It launches electrified fur from its abdomen as its means of attack. Opponents hit by the fur could be in for three full days and nights of paralysis.
galvantula,2,"It lays traps of electrified threads near the nests of bird Pokémon, aiming to snare chicks that are not yet good at flying."
ferroseed,1,"It defends itself by launching spikes, but its aim isn’t very good at first. Only after a lot of practice will it improve."
ferroseed,2,Mossy caves are their preferred dwellings. Enzymes contained in mosses help Ferroseed’s spikes grow big and strong.
ferrothorn,1,"This Pokémon scrapes its spikes across rocks, and then uses the tips of its feelers to absorb the nutrients it finds within the stone."
ferrothorn,2,Its spikes are harder than steel. This Pokémon crawls across rock walls by stabbing the spikes on its feelers into the stone.
klink,1,The two minigears that compose this Pokémon are closer than twins. They mesh well only with each other.
klink,2,It’s suspected that Klink were the inspiration behind ancient people’s invention of the first gears.
klang,1,"When Klang goes all out, the minigear links up perfectly with the outer part of the big gear, and this Pokémon’s rotation speed increases sharply."
klang,2,Many companies in the Galar region choose Klang as their logo. This Pokémon is considered the symbol of industrial technology.
